"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 153007 0 5 0 0 3 6 5 0 0 4 1 2 0 NA 0 1819 0 5 0 4 1 0 0 0 1 1 2682.0154 0 78 2682.0154 5 0 1 2 1 2 0 1 5 1 41 100 50 6 3 4
2 153007 0 6 0 0 4 7 6 0 0 5 1 1 7 NA 0 1819 0 6 0 4 0 0 1 0 1 1 2682.0154 1 13 2682.0154 5 0 1 2 1 2 0 1 5 1 41 100 50 6 3 4
2 153008 0 1 0 3609.2787 1 1 2 1 1 NA 1 2 9 NA 0 1819 0 2 0 4 0 0 1 0 1 1 2075.7226 1 46 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153008 0 2 1 4.0038741 1 1 1 1 1 NA 1 2 6 0 0 1819 0 2 0 4 0 0 1 0 1 1 2075.7226 0 43 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153008 0 3 0 7206.9733 1 1 2 1 1 NA 1 2 12 0 0 1819 0 2 0 4 0 0 1 0 1 1 2075.7226 1 22 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153008 0 4 0 0 3 6 5 0 0 4 1 2 10 NA 0 1819 0 2 0 4 0 0 1 0 1 1 2075.7226 0 20 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153008 0 5 0 307.64326 1 3 3 1 1 NA 1 2 11 0 0 1819 0 6 0 4 0 0 1 0 1 1 2075.7226 0 19 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153008 0 6 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 2075.7226 1 4 2075.7226 5 0 1 2 1 0.4 0 1 5 1 46 71.42857 57.14286 9 3 6
2 153009 0 1 0 343.3322 1 1 1 1 1 NA 1 2 3 0 0 1819 0 2 0 4 1 1 1 0 1 1 418.21004 1 54 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153009 0 2 1 NA 3 6 5 0 0 4 0 2 2 NA 0 1819 0 2 0 4 1 1 1 0 1 1 418.21004 0 52 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
